Location,X,Y
RINGSEND,53.34194399999999,-6.226389
SEAN MOORE,53.33921070000001,-6.2164504
SPRINGDALE,54.5064698,-6.780112400000001
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST  ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
THE RANCH,53.3434782,-6.3291653
WALKINSTOWN,53.32161329999999,-6.330117700000001
ST. ANNES,53.32877190000001,-6.2544648
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
DARTRY,53.309956400000004,-6.2631069
FARNHAM,53.385891,-6.3003761
JOHN PAUL,53.363125600000004,-6.236186099999999
LE FANU,53.33581850000001,-6.3541441
RINGSEND,53.34194399999999,-6.226389
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
WALKINSTOWN,53.32161329999999,-6.330117700000001
DOLPHIN,54.85697879999999,-6.2698595
BEECHILL,54.551865299999996,-5.9180207000000005
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BUNTING ROAD,53.32018879999999,-6.3260332
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
DARTRY,53.309956400000004,-6.2631069
HERBERT,53.327686899999996,-6.2365699999999995
IRISHTOWN,53.53249449999999,-6.226157
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
WALKINSTOWN,53.32161329999999,-6.330117700000001
DUNDANIEL,53.394585,-6.225759
OSCAR TRAYNOR,53.3944328,-6.2123605
ALBERT COLLEGE,53.3854709,-6.2608090999999995
ARDMORE,54.95577610000001,-7.280734900000001
ASHINGTON,53.372544999999995,-6.3162244
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
CLONTURK,53.381717,-6.245751599999999
DARNDALE,53.4009603,-6.1940318
FAIRVIEW,53.36284570000001,-6.2366557
FAIRVIEW,53.36284570000001,-6.2366557
GLIN ROAD,53.399516500000004,-6.2056252
GLIN ROAD,53.399516500000004,-6.2056252
JOHN PAUL,53.363125600000004,-6.236186099999999
MARINO,53.37048000000001,-6.2314905
MELLOWES,53.3900796,-6.3118302
NORTHWAY,54.425755599999995,-6.4432197
OSCAR TRAYNOR,53.3944328,-6.2123605
ROCKFIELD,53.2942877,-6.1728171
ST ANNES,53.32877190000001,-6.2544648
POPPINTREE,53.4054312,-6.2871818
GREENDALE,53.386065,-6.1504701
ROSEGLEN,53.38554820000001,-6.1608457
EDENMORE,53.386264000000004,-6.187380200000001
WOODBINE AVE,53.309439000000005,-6.2107616
ST ANNES,53.32877190000001,-6.2544648
FR. COLLINS,53.333059999999996,-6.24889
ST ANNES,53.32877190000001,-6.2544648
BALCURRIS PARK,53.404240599999994,-6.272635500000001
DARTRY,53.309956400000004,-6.2631069
HERBERT,53.327686899999996,-6.2365699999999995
HERBERT,53.327686899999996,-6.2365699999999995
LE FANU,53.33581850000001,-6.3541441
STANNAWAY,53.3206866,-6.3006892
CHERRY ORCHARD,53.3299858,-6.276184400000001
BEECHILL,54.551865299999996,-5.9180207000000005
HERBERT,53.327686899999996,-6.2365699999999995
ALBERT COLLEGE,53.3854709,-6.2608090999999995
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
FARNHAM,53.385891,-6.3003761
FR. COLLINS,53.333059999999996,-6.24889
HERBERT,53.327686899999996,-6.2365699999999995
JOHNSTOWN,53.41222729999999,-6.320695300000001
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
DONAGHMEDE,53.39486120000001,-6.1635775
FARNHAM,53.385891,-6.3003761
FR. COLLINS,53.333059999999996,-6.24889
LE FANU,53.33581850000001,-6.3541441
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
STANNAWAY,53.3206866,-6.3006892
WALKINSTOWN,53.32161329999999,-6.330117700000001
ST ANNES,53.32877190000001,-6.2544648
BELCAMP,53.4068274,-6.1969262
ST ANNES,53.32877190000001,-6.2544648
Balbriggan Town Park,53.6049596246817,-6.18235291959051
Balheary Reservoir,53.4727096370551,-6.22301521551813
Town Park,53.5771135903791,-6.11107205744599
St. Mologa's Park,53.6176672458903,-6.18936794084573
Seagrange Park,53.3966674985382,-6.13535180348378
Grace O'Malley Park,53.3837670873571,-6.06993957211342
Broomfiled,53.4391582903147,-6.14467208848085
St. Catherine's Park,53.5381980171844,-6.09594133030661
Malahide Demesne,53.4478177382721,-6.15784132699727
Swords Manor,53.4591728031126,-6.249068963113
Balheary Park,53.4671271045697,-6.22034510719597
Balheary Park,53.4660349552282,-6.21611968889385
Balheary Park,53.467348630642,-6.21538771007825
Hartstown Park,53.3959238366554,-6.41154517827057
Hartstown Park,53.3953231958123,-6.41292838835715
Hunters Run/lLittlep,53.4063916944007,-6.42191076267738
Skerries Town Park,53.5765290455722,-6.10916744201192
Ballist Pit,53.575296708008,-6.11740222324566
St. Molaga's Park,53.6181394762323,-6.18796362011618
Seagrange Park,53.393783117558,-6.13607093712939
St. Mologa's Park,53.6192924034811,-6.18909240633233
St. Catherines,53.3662024316463,-6.46774754045766
St. Catherines,53.3661733361238,-6.46600738669942
St. Catherine's Park,53.5393376304072,-6.09450155109758
Seabury,53.4555471243316,-6.17781155116466
Ward River Valley,53.4558136495821,-6.24957423891519
Balheary Park,53.4657614112316,-6.21839896828571
Balheary Park,53.4662709735996,-6.21810132467333
Balheary Park,53.4667978050831,-6.21809525880922
Balheary Reservoir,53.4723537763046,-6.2261531553405
Balheary Reservoir,53.4726398197662,-6.22589595274399
Balheary Reservoir,53.4729479902679,-6.2256156970355
Hartstown Park,53.393968080238,-6.41211092873122
Hartstown Park,53.3963384827422,-6.41292397066233
Hartstown Park,53.3962424394402,-6.41037074601988
Mountview Park,53.3894534622967,-6.405522699176
St. Mologa's Park,53.615899173763,-6.1854932149198
St. Mologa's Park,53.6156257951025,-6.18391354720681
Seagrange Park,53.3939238854099,-6.13880998370236
Bayside School,53.3897700368883,-6.14914963464
Pinewood,53.6065307243665,-6.17966815946838
St. Catherines,53.3659085701132,-6.46947109846945
St. Catherines,53.3659892957992,-6.4707290176191
Balbriggan Town Park,53.6036899774124,-6.18138459670146
Balbriggan Town Park,53.604642797328,-6.18133609646353
Ball Alley/Remount,53.5251287367783,-6.16069534107133
Newbridge Demesne,53.4905094536679,-6.1761856549248
Newbridge Demesne,53.4898838481802,-6.17645552041318
Newbridge Demesne,53.4892921655101,-6.17685013930942
Newbridge Demesne,53.4886223910085,-6.17706018664759
Newbridge Demesne,53.4897784740616,-6.17496237614171
Newbridge Demense,53.4895866347574,-6.17358363107345
Newbridge Demesne,53.4887640072975,-6.17340375711033
Carrickhill Park,53.4317487507021,-6.13942342627963
St. Catherine's Park,53.5390290099585,-6.09337811422159
St. Catherine's Park,53.5385517841112,-6.09769692154911
Swords Manor,53.4590387364441,-6.25115272940777
Ward River Valley,53.455855532962,-6.2448869208849
Balheary Park,53.4684264557609,-6.21460533218805
Balheary Park,53.4692562248938,-6.21393312690765
Balheary Reservoir,53.4722086332706,-6.22455060320527
Balheary Reservoir,53.4727532143964,-6.22437816202542
Balheary Reservoir,53.4729304703839,-6.22727355091584
Hartstown Park,53.3957998908194,-6.41371466277525
Hartstown Park,53.395094270612,-6.41455477470044
Hartstown Park,53.3944687820642,-6.41258990537217
Mourne View,53.5801702491656,-6.12271431946141
Mourne View,53.5805331308631,-6.12498779672751
Town Park,53.5756675954932,-6.1079062121554
Town Park,53.5756523253353,-6.10949822108311
Coolmine Park,53.3895336791179,-6.39255116935086
Mountview Park,53.3889597054201,-6.40701737101347
Corduff Park,53.3973874661984,-6.37967519132997
Parslickstown,53.4066945029507,-6.40399522712078
Lady's Well Park,53.4074098702983,-6.38816766383641
Danny's Pitches,53.4120540557149,-6.39018642298396
Grace O'Malley Park,53.3850343852821,-6.06851225756661
Corballis Road,53.4838075282266,-6.13634599517865
Laurel Lodge,53.3810956436847,-6.37124558642032
St. Mologa's Park,53.6170745642375,-6.18693504548687
St. Mologa's Park,53.6166955300167,-6.18816813012173
St. Mologa's Park,53.6165427213157,-6.18903911886704
Craoibhinn Park,53.6050860841386,-6.17632209518723
Seagrange Park,53.3960183001863,-6.13543658163634
Seagrange Park,53.3950396442173,-6.1358101939479
Seagrange Park,53.3923690428337,-6.13478697030993
Balrothery Park,53.5842587186935,-6.19133130165668
St. Catherines,53.3667576285142,-6.47043430357714
St. Catherines,53.3666957677986,-6.46922405311142
St. Catherines,53.3661192018841,-6.46420051624575
Seagrange Park,53.3924305120341,-6.13627665607428
St. Catherines,53.3711170322279,-6.46750304531701
Hazelbury Park,53.401055350055,-6.42839686946297
Porterstown Park,53.3700809031924,-6.40425938637453
Robswall,53.4418690708661,-6.13572668724154
Balheary  Reservoir,53.47199227978,-6.22303389154358
Kilbogget Park,53.25724222,-6.14066541
Kilbogget Park,53.25761448,-6.13988221
Kilbogget Park,53.25784232,-6.1392653
